subject,cognitive_affective_mindfulness,engagement_in_self_reflection,need_for_self_reflection,insight,decision_scale,need_for_cognition,cognitive_reflection_test,digit_span,subject_prolific,version,gender,age,education,income,race,phq91,phq92,gad71,gad72,audit,spq,ocir,tas,icar_responses,icar_correct,icar_num_correct,feedback,total_time,timestamp,id,mistakeCounter
ANAH6AKNR5WSA,,,,,,,,,,v1,Male,30-39 years old,Bachelor's degree,"$50,000-$75,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,14,
ARI1EMAHUA9PO,,,,,,,,,,v1,Male,40-49 years old,Bachelor's degree,"$75,000-$100,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,15,
AIHHRINW9IN1I,,,,,,,,,,v1,Female,30-39 years old,Master's Degree,"$50,000-$75,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,16,
A3M8O363B3IAKE,,,,,,,,,,v1,Male,40-49 years old,Bachelor's degree,"$50,000-$75,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,17,
A3O7X46E3REM7I,,,,,,,,,,v1,Male,30-39 years old,Bachelor's degree,"$25,000-$50,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,18,
A2QTL039A5VV3I,,,,,,,,,,v1,Male,30-39 years old,Bachelor's degree,"$75,000-$100,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,19,
A1DZMZTXWOM9MR,,,,,,,,,,v1,Male,30-39 years old,High school/GED,"$50,000-$75,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,20,
AAASQIW3J32OL,,,,,,,,,,v1,Female,60 years old or older,Bachelor's degree,"More than $100,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,21,
A29HNN7SWL3N31,,,,,,,,,,v1,Female,30-39 years old,Bachelor's degree,"$50,000-$75,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,22,
AOOLS8280CL0Z,,,,,,,,,,v1,Female,60 years old or older,High school/GED,"$25,000-$50,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,23,
A3US4NGKXBVI48,,,,,,,,,,v1,Male,30-39 years old,Bachelor's degree,"$25,000-$50,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,24,
A1WJIRT360P5VB,,,,,,,,,,v1,Male,40-49 years old,High school/GED,"$25,000-$50,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,25,
A2RWLFIP23FZA7,,,,,,,,,,v1,Male,30-39 years old,Bachelor's degree,"$50,000-$75,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,26,
test,,,,,,,,,,v2,Female,20-29 years old,High school/GED,"Less than $25,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,27,
A1AF25FCVKC87X,,,,,,,,,,v1_pilot2,Male,30-39 years old,Bachelor's degree,"$50,000-$75,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,28,
A2YC6PEMIRSOAA,,,,,,,,,,v1_pilot2,Female,30-39 years old,High school/GED,"$75,000-$100,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,29,
A2ZDEERVRN5AMC,,,,,,,,,,v1_pilot2,Male,30-39 years old,High school/GED,"$25,000-$50,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,30,
A1LRJ4U04532TM,,,,,,,,,,v1_pilot2,Female,40-49 years old,High school/GED,"$25,000-$50,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,31,
A1DUPOUC9RNU4L,,,,,,,,,,v1_pilot2,Female,60 years old or older,High school/GED,"$25,000-$50,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,32,
A1TARNH07A75CG,,,,,,,,,,v1_pilot2,Male,30-39 years old,Bachelor's degree,"$75,000-$100,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,33,
A320QA9HJFUOZO,,,,,,,,,,v1_pilot2,Male,30-39 years old,Bachelor's degree,"$75,000-$100,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,34,
A2NAKIXS3DVGAA,,,,,,,,,,v1_pilot2,Male,20-29 years old,Bachelor's degree,"Less than $25,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,35,
A19TD2J8506A4Y,,,,,,,,,,v1_pilot2,Male,40-49 years old,High school/GED,"$25,000-$50,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,36,
A106MX66IVHW6T,,,,,,,,,,v1_pilot2,Male,40-49 years old,Bachelor's degree,"More than $100,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,37,
ARUXG5FD1Q76F,,,,,,,,,,v1_pilot2,Male,40-49 years old,Bachelor's degree,"More than $100,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,38,
A114JRUBJ5IN7D,,,,,,,,,,v1_pilot2,Male,20-29 years old,Bachelor's degree,"More than $100,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,39,
A26RO8GGTQAXGG,,,,,,,,,,v1_pilot2,Female,50-59 years old,Bachelor's degree,"Less than $25,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,40,
A68J20100VW4W,,,,,,,,,,v1_pilot2,Female,60 years old or older,Bachelor's degree,"More than $100,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,41,
A2YCMT5BPA0AG9,,,,,,,,,,v1_pilot2,Male,60 years old or older,Bachelor's degree,"$25,000-$50,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,42,
A1WH32GYQOHIRQ,,,,,,,,,,v1_pilot2,Female,50-59 years old,High school/GED,"Less than $25,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,43,
AI6TD8PM938FQ,,,,,,,,,,v1_pilot2,Male,30-39 years old,Bachelor's degree,"$25,000-$50,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,44,
A136K4YZY2OFTV,,,,,,,,,,v1_pilot2,Male,50-59 years old,Bachelor's degree,"More than $100,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,45,
A2MS1GQLGAX9FZ,,,,,,,,,,v1_pilot2,Female,20-29 years old,Bachelor's degree,"$25,000-$50,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,46,
A3KF6O09H04SP7,,,,,,,,,,v1_pilot2,Male,30-39 years old,Bachelor's degree,"$50,000-$75,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,47,
A2BK9RMC0NOIH8,,,,,,,,,,v1_pilot2,Male,40-49 years old,High school/GED,"$50,000-$75,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,48,
AIQM86IRETAJN,,,,,,,,,,v1_pilot2,Female,30-39 years old,High school/GED,"$25,000-$50,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,49,
ALF9AAZGQP4K5,,,,,,,,,,v1_pilot2,Male,30-39 years old,Trade school,"More than $100,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,50,
A38OPVI04AH4JG,,,,,,,,,,v1_pilot2,Male,50-59 years old,Bachelor's degree,"$25,000-$50,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,51,
AHYTT3T8W9Y9Y,,,,,,,,,,v1_pilot2,Female,30-39 years old,Bachelor's degree,"$25,000-$50,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,52,
A2YTQDLACTLIBA,,,,,,,,,,v1_pilot2,Female,60 years old or older,Bachelor's degree,"$25,000-$50,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,53,
A3785TR8D5I81Q,,,,,,,,,,v1_pilot2,Female,20-29 years old,Bachelor's degree,"$25,000-$50,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,54,
A1GTYHV8OYQQLV,,,,,,,,,,v1_pilot2,Male,60 years old or older,High school/GED,"$25,000-$50,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,55,
A1UGFNSA16TKA0,,,,,,,,,,v1_pilot2,Female,30-39 years old,High school/GED,"$25,000-$50,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,56,
A2W3I2GBGDB637,,,,,,,,,,v1_pilot2,Female,50-59 years old,High school/GED,"$75,000-$100,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,57,
AZ4NVW69W0R2,,,,,,,,,,v1_pilot2,Female,20-29 years old,Trade school,"$75,000-$100,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,58,
A2PSR3CMNR1R9X,,,,,,,,,,v1_pilot2,Male,30-39 years old,High school/GED,"More than $100,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,59,
A1PHDT66U6IK4Q,,,,,,,,,,v1_pilot2,Male,50-59 years old,Bachelor's degree,"$25,000-$50,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,60,
AMPR904VJJFZY,,,,,,,,,,v1_pilot2,Female,20-29 years old,Master's Degree,"More than $100,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,61,
AR5RKWHR0DUCS,,,,,,,,,,v1_pilot2,Male,60 years old or older,Bachelor's degree,"$50,000-$75,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,62,
A3I40B0FATY8VH,,,,,,,,,,v1_pilot2,Male,20-29 years old,High school/GED,"$25,000-$50,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,63,
A1T643M1P572AA,,,,,,,,,,v1_pilot2,Male,40-49 years old,Bachelor's degree,"$50,000-$75,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,64,
A25FH7PXC446RG,,,,,,,,,,v1_pilot2,Female,50-59 years old,Bachelor's degree,"$75,000-$100,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,65,
AEWPAZBYA7XE,,,,,,,,,,v1_pilot2,Male,40-49 years old,Bachelor's degree,"$50,000-$75,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,66,
A1F1BIPJR11LSR,,,,,,,,,,v1_pilot2,Other,30-39 years old,None of the above,"Less than $25,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,67,
A2T1LNI80EPOQR,,,,,,,,,,v1_pilot2,Male,20-29 years old,Bachelor's degree,"Less than $25,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,68,
A3L8LSM7V7KX3T,,,,,,,,,,v1_pilot2,Male,40-49 years old,High school/GED,"$50,000-$75,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,69,
A1D3JI73K53QGO,,,,,,,,,,v1_pilot2,Male,40-49 years old,Master's Degree,"$75,000-$100,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,70,
A16335MOISDG1F,,,,,,,,,,v1_pilot2,Male,30-39 years old,High school/GED,"$25,000-$50,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,71,
A1JJYY622DGE5L,,,,,,,,,,v1_pilot2,Female,40-49 years old,Bachelor's degree,"$50,000-$75,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,72,
A278Q2BHCINITH,,,,,,,,,,v1_pilot2,Female,40-49 years old,Master's Degree,"$50,000-$75,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,73,
A1CFMY4CEYOM8Y,,,,,,,,,,v1_pilot2,Male,40-49 years old,Master's Degree,"$25,000-$50,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,74,
A1BVG13MHBM1YD,,,,,,,,,,v1_pilot2,Female,40-49 years old,High school/GED,"$50,000-$75,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,75,
A3QNCW3LR2AVOV,,,,,,,,,,v1_pilot2,Male,50-59 years old,Trade school,"$50,000-$75,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,76,
A1T9BJRS4IL8VQ,,,,,,,,,,v1_pilot2,Male,Under 20 years old,Bachelor's degree,"$25,000-$50,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,77,
A28OS1PY0BROK,,,,,,,,,,v1_pilot2,Male,40-49 years old,Bachelor's degree,"$50,000-$75,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,78,
A1GKD3NG1NNHRP,,,,,,,,,,v1_pilot2,Female,60 years old or older,Bachelor's degree,"Less than $25,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,79,
AEFM0SQWZE98Y,,,,,,,,,,v1_pilot2,Male,20-29 years old,Bachelor's degree,"$25,000-$50,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,80,
AW5O1RK3W60FC,,,,,,,,,,v1_pilot2,Female,50-59 years old,Bachelor's degree,"Less than $25,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,81,
A2PQDK3MLDFXYM,,,,,,,,,,v1_pilot2,Female,20-29 years old,High school/GED,"Less than $25,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,82,
A31XT6RPLN6359,,,,,,,,,,v1_pilot2,Female,40-49 years old,High school/GED,"$75,000-$100,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,83,
A2G7N0X0PNX0EE,,,,,,,,,,v1_pilot2,Male,30-39 years old,Bachelor's degree,"$50,000-$75,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,84,
A10M63DSIGIEDI,,,,,,,,,,v1_pilot2,Male,20-29 years old,Bachelor's degree,"$50,000-$75,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,85,
A24HOBENULGZA2,,,,,,,,,,v1_pilot2,Male,20-29 years old,Master's Degree,"$75,000-$100,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,86,
A3MXB3R0R9G9TA,,,,,,,,,,v1_pilot2,Male,40-49 years old,Master's Degree,"More than $100,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,87,
A1K8VUKRL53OX,,,,,,,,,,v1_pilot2,Male,20-29 years old,Bachelor's degree,"$50,000-$75,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,88,
A2S64AUN7JI7ZS,,,,,,,,,,v1_pilot2,Male,40-49 years old,High school/GED,"$75,000-$100,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,89,
A2KW87ZD2ELYNG,,,,,,,,,,v1_pilot2,Male,40-49 years old,High school/GED,"$25,000-$50,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,90,
A8C3WNWRBWUXO,,,,,,,,,,v1_pilot2,Male,50-59 years old,High school/GED,"More than $100,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,91,
A1IS0218RVG60K,,,,,,,,,,v1_pilot2,Male,30-39 years old,Bachelor's degree,"$25,000-$50,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,92,
AIGUVMQQYYKMN,,,,,,,,,,v1_pilot2,Male,30-39 years old,High school/GED,"$25,000-$50,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,93,
ABBP9JASL9AGK,,,,,,,,,,v1_pilot2,Female,30-39 years old,Bachelor's degree,"$50,000-$75,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,94,
A2JTOOVOQGRI6G,,,,,,,,,,v1_pilot2,Female,40-49 years old,Bachelor's degree,"More than $100,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,95,
A2M183CETUMR96,,,,,,,,,,v1_pilot2,Male,30-39 years old,High school/GED,"Less than $25,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,96,
A13WTEQ06V3B6D,,,,,,,,,,v1_pilot2,Male,20-29 years old,Master's Degree,"More than $100,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,97,
A1A0F0BAX3CDTF,,,,,,,,,,v1_pilot2,Female,20-29 years old,Bachelor's degree,"$50,000-$75,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,98,
A7P3R1AIA4TVV,,,,,,,,,,v1_pilot2,Male,30-39 years old,Bachelor's degree,"$25,000-$50,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,99,
ACGHHDT7RY1AH,,,,,,,,,,v1_pilot2,Female,30-39 years old,Bachelor's degree,"Less than $25,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,100,
A1XQOZV8LQDM22,,,,,,,,,,v1_pilot2,Male,40-49 years old,Bachelor's degree,"More than $100,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,101,
AMHUDJ44HF1ZH,,,,,,,,,,v1_pilot2,Male,60 years old or older,High school/GED,"$25,000-$50,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,102,
AM65LGXJBTJ0I,,,,,,,,,,v1_pilot2,Male,30-39 years old,High school/GED,"$25,000-$50,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,103,
AKK6H2YXK4RF6,,,,,,,,,,v1_pilot2,Female,40-49 years old,Bachelor's degree,"Less than $25,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,104,
A20CZCJPRP54G9,,,,,,,,,,v1_pilot2,Male,40-49 years old,Bachelor's degree,"$75,000-$100,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,105,
A2SL8R5B6QX4Q0,,,,,,,,,,v1_pilot2,Male,40-49 years old,Bachelor's degree,"$50,000-$75,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,106,
A1F9KLZGHE9DTA,,,,,,,,,,v1_pilot2,Male,40-49 years old,High school/GED,"$75,000-$100,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,107,
ASVRLMDNQBUD9,,,,,,,,,,v1_pilot2,Male,40-49 years old,Trade school,"Less than $25,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,108,
A2TXZVXQU5FQZ9,,,,,,,,,,v1_pilot2,Male,30-39 years old,Bachelor's degree,"Less than $25,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,109,
A2ATBS6XTIZE89,,,,,,,,,,v1_pilot2,Male,40-49 years old,High school/GED,"$75,000-$100,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,110,
A2OTIGIEZI42EQ,,,,,,,,,,v1_pilot2,Male,30-39 years old,Master's Degree,"$25,000-$50,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,111,
A1KWC8TW8ANBQ8,,,,,,,,,,v1_pilot2,Female,50-59 years old,High school/GED,"$50,000-$75,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,112,
A2OROMUVBD1NVC,,,,,,,,,,v1_pilot2,Female,50-59 years old,Master's Degree,"More than $100,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,113,
AGILQEFEPEK7N,,,,,,,,,,v1_pilot2,Male,30-39 years old,Bachelor's degree,"$50,000-$75,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,114,
A2NJ6AR78O07FD,,,,,,,,,,v1_pilot2,Female,40-49 years old,Bachelor's degree,"More than $100,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,115,
A25CZJEFKXF4UV,,,,,,,,,,v1_pilot2,Male,20-29 years old,Bachelor's degree,"$50,000-$75,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,116,
A14EYTLSMJRPUK,,,,,,,,,,v1_pilot2,Male,30-39 years old,Bachelor's degree,"Less than $25,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,117,
AU849EHZNGV2Z,,,,,,,,,,v1_pilot2,Male,30-39 years old,High school/GED,"$25,000-$50,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,118,
A3UQGYS2W1LGAC,,,,,,,,,,v1_pilot2,Female,30-39 years old,High school/GED,"$75,000-$100,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,119,
A29AF16RLMI0ES,,,,,,,,,,v1_pilot2,Male,60 years old or older,Bachelor's degree,"$75,000-$100,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,120,
AI5RMOS8R652G,,,,,,,,,,v1_pilot2,Female,40-49 years old,Bachelor's degree,"$50,000-$75,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,121,
A3N770LD28YDL1,,,,,,,,,,v1_pilot2,Female,50-59 years old,High school/GED,"$25,000-$50,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,122,
A4CHLWPHZIP7Y,,,,,,,,,,v1_pilot2,Female,40-49 years old,Bachelor's degree,"$50,000-$75,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,123,
ARYL3C6N9SVV1,,,,,,,,,,v1_pilot2,Male,30-39 years old,Bachelor's degree,"$75,000-$100,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,124,
A1JVO7FLPATHUB,,,,,,,,,,v1_pilot2,Male,20-29 years old,High school/GED,"$50,000-$75,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,125,
A3QJJR5Y3XE92N,,,,,,,,,,v1_pilot2,Male,40-49 years old,Master's Degree,"More than $100,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,126,
,,,,,,,,,,,Female,20-29 years old,High school/GED,"Less than $25,000",,,,,,,,,,,,,,0,2023-01-02 14:39:05,127,
test,,,,,,,,,,v2,Female,20-29 years old,Trade school,"$50,000-$75,000",,,,,,,,,,,,,,659071,2023-01-02 14:39:05,129,
test,,,,,,,,,,v2,Female,Under 20 years old,High school/GED,Prefer not to say,,,,,,,,,,,,,,732660,2023-01-02 14:39:05,130,
A27VK38SRSSHV3,,,,,,,,,,v2,Female,30-39 years old,Master's Degree,"$75,000-$100,000",,,,,,,,,,,,,,710178,2023-01-02 14:39:05,131,
A33Z6BHAJUGCHY,,,,,,,,,,v2,Male,20-29 years old,Bachelor's degree,"$50,000-$75,000",,,,,,,,,,,,,,611378,2023-01-02 14:39:05,132,
A1FMVUYV72MUO3,,,,,,,,,,v2,Male,40-49 years old,Bachelor's degree,"$25,000-$50,000",,,,,,,,,,,,,,1404946,2023-01-02 14:39:05,133,
A3CGQOJC28OVGN,,,,,,,,,,v2,Female,30-39 years old,Bachelor's degree,"$25,000-$50,000",,,,,,,,,,,,,,842266,2023-01-02 14:39:05,134,
A1FHC4Z6QXDQSS,,,,,,,,,,v2,Male,30-39 years old,High school/GED,"$25,000-$50,000",,,,,,,,,,,,,,1639825,2023-01-02 14:39:05,135,
AOS2PVHT2HYTL,,,,,,,,,,v2,Female,60 years old or older,High school/GED,"Less than $25,000",,,,,,,,,,,,,,1228022,2023-01-02 14:39:05,136,
A2PTABUVOUYAH5,,,,,,,,,,v2,Male,30-39 years old,High school/GED,"$25,000-$50,000",,,,,,,,,,,,,,1317080,2023-01-02 14:39:05,137,
ARYL3C6N9SVV1,,,,,,,,,,v2,Male,30-39 years old,Bachelor's degree,"$75,000-$100,000",,,,,,,,,,,,,,1612363,2023-01-02 14:39:05,138,
ALYR5CI2SM2JC,,,,,,,,,,v2,Male,30-39 years old,High school/GED,"$25,000-$50,000",,,,,,,,,,,,,,531692,2023-01-02 14:39:05,139,
A11WCFPJSR5VZP,,,,,,,,,,v2,Female,30-39 years old,Bachelor's degree,"Less than $25,000",,,,,,,,,,,,,,1887335,2023-01-02 14:39:05,140,
A1DSBBRZR3LWXP,,,,,,,,,,v2,Female,20-29 years old,Master's Degree,"$25,000-$50,000",,,,,,,,,,,,,,823678,2023-01-02 14:39:05,141,
A1MJVTR0PCKBWW,,,,,,,,,,v2,Female,20-29 years old,Bachelor's degree,"More than $100,000",,,,,,,,,,,,,,851859,2023-01-02 14:39:05,142,
A3OYUJ6E6BJS4H,,,,,,,,,,v2,Male,50-59 years old,Bachelor's degree,"$75,000-$100,000",,,,,,,,,,,,,,1250575,2023-01-02 14:39:05,143,
A1NIKHUA79SWGD,,,,,,,,,,v2,Male,20-29 years old,High school/GED,"$25,000-$50,000",,,,,,,,,,,,,,922914,2023-01-02 14:39:05,144,
A3T9WZOUQGE2UW,,,,,,,,,,v2,Female,40-49 years old,Bachelor's degree,"$75,000-$100,000",,,,,,,,,,,,,,768309,2023-01-02 14:39:05,145,
A19FEU28J4WZ1Z,,,,,,,,,,v2,Female,30-39 years old,Trade school,"Less than $25,000",,,,,,,,,,,,,,939007,2023-01-02 14:39:05,146,
AJF954955YWZG,,,,,,,,,,v2_pilot2,Female,30-39 years old,Trade school,"$25,000-$50,000",,,,,,,,,,,,,,512412,2023-01-02 14:39:05,147,
A2YC6PEMIRSOAA,,,,,,,,,,v2,Female,30-39 years old,High school/GED,"$75,000-$100,000",,,,,,,,,,,,,,670699,2023-01-02 14:39:05,148,
A1TPGXT718D68E,,,,,,,,,,v2_pilot2,Female,40-49 years old,Bachelor's degree,"$50,000-$75,000",,,,,,,,,,,,,,493033,2023-01-02 14:39:05,149,
AX27MR7AMU52H,,,,,,,,,,v2,Male,60 years old or older,Bachelor's degree,"More than $100,000",,,,,,,,,,,,,,736935,2023-01-02 14:39:05,150,
AV7UX8QQXABSK,,,,,,,,,,v2,Male,30-39 years old,Bachelor's degree,"More than $100,000",,,,,,,,,,,,,,777382,2023-01-02 14:39:05,151,
AD15OW944ZV20,,,,,,,,,,v2,Male,30-39 years old,Bachelor's degree,"Less than $25,000",,,,,,,,,,,,,,1042810,2023-01-02 14:39:05,152,
A23KAJRDVCVGOE,,,,,,,,,,v2_pilot2,Male,40-49 years old,High school/GED,"$25,000-$50,000",,,,,,,,,,,,,,518893,2023-01-02 14:39:05,153,
A1AMGHYG5PT0L2,,,,,,,,,,v2,Female,40-49 years old,Master's Degree,"$50,000-$75,000",,,,,,,,,,,,,,560271,2023-01-02 14:39:05,154,
A10249252O9I20MRSOBVF,,,,,,,,,,v2,Female,50-59 years old,High school/GED,"$50,000-$75,000",,,,,,,,,,,,,,1043099,2023-01-02 14:39:05,155,
A33X52IN60MSOE,,,,,,,,,,v2,Male,40-49 years old,High school/GED,"$25,000-$50,000",,,,,,,,,,,,,,1324237,2023-01-02 14:39:05,156,
A1IFIK8J49WBER,,,,,,,,,,v2_pilot2,Female,60 years old or older,High school/GED,"$75,000-$100,000",,,,,,,,,,,,,,1223337,2023-01-02 14:39:05,157,
